"owner","Gorgon_gas_project | On_the_Run_(convenience_store) | List_of_Esso_Atlantic-class_supertankers | Baton_Rouge_Refinery | Altona_Refinery | Infineum | Imperial_Oil | Baytown_Refinery | Mobil | Thunder_Horse_PDQ | GasTerra","","",""
"parent","On_the_Run_(convenience_store) | Exxon_Neftegas | ExxonMobil_Nigeria"," (All wrong, they are subsidiaries) XTO Energy | ExxonMobil Australia","ExxonMobil (Canada) | ExxonMobil Refining and Supply Company | ExxonMobil (United Kingdom) | Q125929111 | ExxonMobil Chemical | ExxonMobil Pipeline Company | ExxonMobil Fuels & Lubricants Company | Q130232940 | ExxonMobil Upstream Research Co | Imperial Oil | ExxonMobil Research and Engineering | ExxonMobil Central Europe Holding | ExxonMobil Fuels, Lubricants & Specialties Marketing Company | German-American Petroleum Company | Forbes Travel Guide","parent organization"
"partners","Elgin–Franklin_fields | FLAGS | Prudhoe_Bay_Oil_Field | Azeri–Chirag–Gunashli | Hibernia_oil_field | Bonga_Field | Trans-Alaska_Pipeline_System | Oseberg_South | Pazflor_oil_development | Tuapse_field | Grane_oil_field | Terra_Nova_oil_field | Ormen_Lange_(gas_field) | Fulmar_Gas_Line | Sleipner_gas_field | East-Prinovozemelsky_field | Tengiz_Field | Brent_oilfield | Tempa_Rossa_oil_field | Kearl_Oil_Sands_Project | Thunder_Horse_Oil_Field | Dalia_Oil_Field | Alaska_gas_pipeline | Norpipe | Kashagan_Field | East_Natuna_gas_field | Edward_Gaming | Langeled_pipeline | Adria–Wien_Pipeline","","",""
"product","Crude_oil | Petrochemical | Natural_gas | Oil_products | Power_generation","","",""
"occupation","Warner_Norton_Grubb | Stephen_D._Pryor | Dan_Ammann","","",""
"locationCity | hqLocationCity","Irving,_Texas | Spring,_Texas | Spring, Texas | Irving,_Texas","Spring - Texas","Spring","headquarters location"
"operators | operator","Arun_gas_field | Val_Shatsky_oil_field | Skifska_gas_field | 2013_Mayflower_oil_spill | Pelican_South_gas_field | Domino_gas_field","Arun_gas_field | Skifska_gas_field | 2013_Mayflower_oil_spill | Pelican_South_gas_field | Domino_gas_field | Hides_gas_field | Hibernia_oil_field | 2011 Yellowstone River oil spill | ExxonMobil Singapore Chemical Plant | Esso refinery in Botlek | P’nyang gas field | Papua New Guinea LNG | Exxon Valdez disaster | Hebron-Ben Nevis oil field | Scarborough gas field","2011 Yellowstone River oil spill | ExxonMobil Singapore Chemical Plant | Hibernia oil field | Esso refinery in Botlek | P’nyang gas field | Papua New Guinea LNG | Exxon Valdez disaster | Hebron-Ben Nevis oil field | Hides gas field | Scarborough gas field","operator"
"foundedBy | founder","Standard_Oil | Mobil | Split from Standard Oil by the Supreme Court of the United States in 1911; merged with Mobil in 1999 to form present name","Standard Oil | John D. Rockefeller","John D. Rockefeller","founded by"
"parentCompany","On_the_Run_(convenience_store) | ExxonMobil_Nigeria | ExxonMobil_Australia | XTO_Energy | Exxon_Neftegas | SeaRiver_Maritime","","",""
"subsidiary","Exxon_Neftegas | ExxonMobil_Nigeria | SeaRiver_Maritime | Aera_Energy","Exxon_Neftegas | ExxonMobil_Nigeria | SeaRiver_Maritime | Aera_Energy | ExxonMobil Australia | Imperial Oil | XTO Energy | ExxonMobil Fuels & Lubricants Company | ExxonMobil Research and Engineering | ExxonMobil Central Europe Holding | ExxonMobil Fuels, Lubricants & Specialties Marketing Company | ExxonMobil (Canada) | ExxonMobil Refining and Supply Company | ExxonMobil (United Kingdom) | ExxonMobil Chemical","ExxonMobil Fuels & Lubricants Company | ExxonMobil Research and Engineering | ExxonMobil Central Europe Holding | ExxonMobil Fuels, Lubricants & Specialties Marketing Company | Forbes Travel Guide | ExxonMobil (Canada) | ExxonMobil Refining and Supply Company | ExxonMobil (United Kingdom) | ExxonMobil Chemical","has subsidiary"
