"parentCompany","Star_Furniture | Precision_Castparts_Corp. | Business_Wire | Borsheims | Burlington_Northern_Santa_Fe,_LLC | Kerite_Company | Alleghany_Corporation | Brooks_Sports | See's_Candies | Johns_Manville | NetJets | RC_Willey_Home_Furnishings | Meyn_Food_Processing_Technology | Campbell_Hausfeld | Dairy_Queen | Jordan's_Furniture | Marmon-Herrington | Ben_Bridge_Jeweler | Double-H_Boots | GEICO | McLane_Company | Russell_Brands | Duracell | Nebraska_Furniture_Mart | BNSF_Railway | Lubrizol | Clayton_Homes | International_Metalworking_Companies | Shaw_Industries__Group,_Inc.__1 | Karmelkorn | Gen_Re | Berkshire_Hathaway_Assurance | Forest_River_(company) | Helzberg_Diamonds | Pampered_Chef | BoatUS | Benjamin_Moore_&_Co. | TTI,_Inc. | Kansas_Bankers_Surety_Company | Berkshire_Hathaway_GUARD_Insurance_Companies | Scott_Fetzer_Company | Fruit_of_the_Loom","","",""
"owningCompany","Moody's_Corporation | Warren_Buffett | Axalta | National_Indemnity_Company | Occidental_Petroleum | DaVita_Inc. | Rio_Grande_(company) | Mouser_Electronics | American_Express | HomeServices_of_America | Oriental_Trading_Company | Marmon_Group | Acme_Brick | Berkshire_Hathaway_Energy | PacifiCorp | Store_Capital | BYD_Company | Special_Metals_Corporation","","",""
"product","Mass_media | Final_good | Sports_equipment | Insurance | Restaurants | Investment | Internet | Real_estate | Toys | Public_utility | Food_processing | Aerospace | Automotive_industry","","",""
"parent","Marmon-Herrington | Double-H_Boots | See's_Candies | McLane_Company | RC_Willey_Home_Furnishings | Campbell_Hausfeld | Karmelkorn | Gen_Re | Jordan's_Furniture | Ben_Bridge_Jeweler | Forest_River_(company) | Nebraska_Furniture_Mart | Helzberg_Diamonds | Clayton_Homes | Shaw_Industries | Berkshire_Hathaway_GUARD_Insurance_Companies | Burlington_Northern_Santa_Fe,_LLC | Pampered_Chef | Alleghany_Corporation | Kansas_Bankers_Surety_Company | Meyn_Food_Processing_Technology | Benjamin_Moore_&_Co. | Star_Furniture | Precision_Castparts_Corp. | Borsheims | Kerite_Company","NetJets | TTI, Inc. | Johns Manville | GEICO | Duracell | Lubrizol | Brooks Sports | Business Wire | International Metalworking Companies | Fruit of the Loom | Scott Fetzer Company | Dairy Queen | Marmon-Herrington | Double-H Boots | See's Candies | McLane Company | RC Willey Home Furnishings | Campbell Hausfeld | Karmelkorn | Jordan's Furniture | Ben Bridge Jeweler | Forest River | Nebraska Furniture Mart | Helzberg Diamonds | Clayton Homes | Shaw Industries | Berkshire Hathaway GUARD Insurance Companies | Burlington Northern Santa Fe, LLC | Pampered Chef | Alleghany Corporation | Kansas Bankers Surety Company | Meyn Food Processing Technology | Benjamin Moore & Co. | Star Furniture | Precision Castparts Corp. | Borsheims | Kerite Company | Pilot Flying J | General Re Corporation | Fox & Roach, Realtors | HomeServices of America | biBERK Business Insurance | Union Tank Car Company | FlightSafety International | Kraft Heinz | Marmon Group | ISCAR Metalworking | Berkshire Hathaway Energy","Pilot Flying J | General Re Corporation | Fox & Roach, Realtors | Kirby Company | HomeServices of America | biBERK Business Insurance | Union Tank Car Company | FlightSafety International | H. H. Brown | Kraft Heinz | Marmon Group | ISCAR Metalworking | Berkshire Hathaway Energy","parent organization"
"products","Sports_equipment | Insurance | Restaurants | Investment | Internet | Real_estate | Toys | Public_utility | Food_processing | Aerospace | Automotive_industry | Mass_media | Final_good","","",""
"subsidiary","List_of_assets_owned_by_Berkshire_Hathaway","Burlington Northern Santa Fe Corporation | Business Wire | Medical Protective | Benjamin Moore & Co. | Marmon Group | Scott Fetzer Company | Dairy Queen | Borsheim's Fine Jewelry | Acme Brick | Berkshire Hathaway Energy | National Indemnity Company | Pilot Flying J | Clayton Homes | NetJets | Central States Indemnity | General Re Corporation | Berkshire Hathaway GUARD Insurance Companies | GEICO | FlightSafety International | Ben Bridge Jeweler | Brooks Sports,"Burlington Northern Santa Fe Corporation | Business Wire | Medical Protective | Benjamin Moore & Co. | The Buffalo News | Marmon Group | Scott Fetzer Company | Dairy Queen | Borsheim's Fine Jewelry | Acme Brick | Berkshire Hathaway Energy | National Indemnity Company | Pilot Flying J | Clayton Homes | NetJets | Central States Indemnity | General Re Corporation | Berkshire Hathaway GUARD Insurance Companies | GEICO | FlightSafety International | Ben Bridge Jeweler | Brooks Sports","","has subsidiary"
"founded","in Cumberland, Rhode Island, U.S.","","",""
"owners","Pilot_Flying_J | Kraft_Heinz | The_Coca-Cola_Company | Bank_of_America | Orange_County_Review","","",""
"formerName","Berkshire Fine Spinning Associates (1929–1955) | Valley Falls Company (1839–1929) | Berkshire Fine Spinning Associates | Valley Falls Company","","",""
"location | hqLocationCity | locationCity","Kiewit_Plaza | Omaha,_Nebraska | Omaha,_Nebraska","","Omaha","headquarters location"
