"birthPlace | place of birth","","Shawnee | Oklahoma","Shawnee, Oklahoma, U.S.","Shawnee - Oklahoma - U.S.","Shawnee | Shawnee, Oklahoma, U.S. | Shawnee,_Oklahoma"
"spouse | spouse","Jennifer Aniston | Angelina Jolie","","","",""
"name | family name | given name","Pitt | William | Bradley","","Brad | Brad Pitt","William Bradley Pitt","William | List_of_awards_and_nominations_received_by_Brad_Pitt | Bradley | Pitt | Brad | Brad Pitt"
"occupation | occupation","film producer | actor | producer | television actor | director | film director | film actor | television producer | executive producer | model | voice actor","","","","director | television producer | producer | film director | voice actor | Brad_Pitt__PersonFunction__1 | model | film actor | executive producer | television actor"
"foundedBy | founder | founded by","Make It Right Foundation | Plan B Entertainment","","Not On Our Watch","Not_on_Our_Watch_(organization)","Not_on_Our_Watch_(organization)"
"relation | relations | relative | sibling","Douglas Pitt | Pax Jolie-Pitt | Maddox Jolie-Pitt | Zahara Jolie-Pitt","","","","Pax Jolie-Pitt | Zahara Jolie-Pitt | Maddox Jolie-Pitt"
"children | child | number of children","6 | Vivienne Jolie-Pitt | Knox Jolie-Pitt | Shiloh Jolie","William Alvin Pitt | Jane Etta Hillhouse","Maddox Jolie-Pitt | Pax Jolie-Pitt | Zahara Jolie-Pitt","","Shiloh Jolie | William Alvin Pitt | Knox Jolie-Pitt | Jane Etta Hillhouse | Vivienne Jolie-Pitt"
"activeYearsStartYear | yearsActive | work period (start)","1987","","","","1987-01-01T00:00:00Z"
"birthDate | birthYear | date of birth","1963-12-18","","1963","","1963-12-18 | 1963-12-18T00:00:00Z | 1963"
"narrator | narrator","Voyage of Time","","","",""
"birthName | birth name","William Bradley Pitt","","","",""
