label,correct values
creator | manufacturer,Apple | Macintosh 128K | Macintosh Classic | Macintosh Portable
founded by | foundedBy | founders,None | Ronald Wayne | Steve Jobs | Steve Wozniak | Taligent
organization | parent | parent organization,Akonia Holographics | Anobit | Apple Store | Apple Studios | AuthenTec | Beats Electronics | Braeburn Capital | Claris | Emagic | FileMaker | FingerWorks | InVisage Technologies | Inc. | P.A. Semi | PrimeSense | Raycer | SchemaSoft | Silicon Grail | Siri Inc. | Texture | drive.ai
has subsidiary | subsidiary,Anobit | Apple Czech | Apple Germany | Apple Israel | Apple Sales International | Apple Store | Apple Studios | AuthenTec | Beats Electronics | Beddit | Braeburn Capital | Claris | Drive.ai | FileMaker | FingerWorks | InVisage Technologies | Inc. | Prismo Graphics | Raycer | SchemaSoft | Siri Inc. | Weather
field of work | occupation,
affiliation | affiliations,Apple University
industry,Consumer electronics | Online services | Software industry
instance of | legal form | type | type foundry,brand | corporation | public company | technology company
name | official name,Apple Inc.
headquarters location | hqLocationCity | location of formation | locationCity,California | Cupertino
company | production company,Bad Sisters
currentowner | owner of,JANA Partners | The Vanguard Group
