label,correct values
birth name | birthName | birthname,Benjamin Géza Affleck-Boldt
relation | relative | relatives,Casey Affleck | Summer Phoenix
director,"Air | Argo | Gone Baby Gone | I Killed My Lesbian Wife, Hung Her on a Meat Hook, and Now I Have a Three-Picture Deal at Disney | Live by Night | The Town"
family name | given name | name,Affleck | Ben | Ben Affleck | Geza
founded by | foundedBy | founder,Artists Equity | Eastern Congo Initiative | LivePlanet | Pearl Street Films
occupation,actor | executive producer | film actor | film director | film producer | screenwriter | television actor | television producer | voice actor | writer
spouse,Jennifer Garner | Jennifer Lopez
birthPlace | place of birth,Berkeley | California | U.S.
activeYearsStartYear | work period (start) | yearsActive,1981
relations | sibling,Casey Affleck
creator | creator,"Push, Nevada"
birthDate | birthYear | date of birth,1972-08-15
child | children | number of children,3 | Sam Affleck | Seraphina Affleck | Violet Affleck
