label,correct values
founded by | foundedBy,G-Note Records | G-Unit Films and Television Inc. | G-Unit Records | SMS Audio
presenter,50 Cent: The Money and the Power | 50_Central
occupation,actor | businessman | entrepreneur | film actor | film producer | investor | music executive | rapper | record executive | record producer | singer | songwriter | television actor | television producer
birthPlace | place of birth,New York City | South Jamaica
creator,Power Universe
child | children | number of children,2 | Sire Jackson
activeYearsStartYear | work period (start) | yearsActive,1996
birthDate | birthYear | date of birth,1975-07-06
director,Before I Self Destruct
birthName | birth name,Curtis James Jackson III
family name | given name | name,50 Cent | Curtis | Jackson
