label,correct values
founded by | foundedBy,G-Note Records | G-Unit Films and Television Inc. | G-Unit Records | SMS Audio
presenter,50_Central
occupation,actor | businessman | entrepreneur | film actor | film producer | investor | music executive | rapper | record executive | record producer | singer | songwriter | television actor | television director | television producer
birthPlace | place of birth,New York City | South Jamaica
creator,50_Cent:_The_Money_and_the_Power | Power Universe
child | children | number of children,2 | Sire Jackson
activeYearsStartYear | work period (start) | yearsActive,1996
birthDate | birthYear | date of birth,1975-07-06T00:00:00Z
director,Before_I_Self_Destruct_(film)
birthName | birth name,Curtis James Jackson III
family name | given name | name,50 Cent | Curtis | Jackson
