2,0,0,0,"sms audio | g unit films and television inc.","","",""
1,0,0,1,"50 central","","","50 cent: the money and the power"
11,2,0,0,"television director | entrepreneur | film producer | television actor | record executive | singer | film actor | songwriter | businessman | investor | music executive",50 cent  personfunction  1 | businessperson,"",""
2,1,0,1,"new york city | south jamaica","new york city, u.s.","","united states"
2,1,0,3,"power universe | 50 cent: the money and the power","tommy egan","","kanan stark | effie morales | angela valdes"
1,0,0,0,"sire jackson","","",""
1,2,0,0,"1996","–present | 1996 01 01t00:00:00z","",""
1,2,0,0,1975 07 06t00:00:00z,1975 | 1975 07 06,"",""
1,1,0,0,before i self destruct (film),before i self destruct,"",""
0,0,0,0,"","","",""
3,1,0,1,"50 cent | jackson | curtis","50","","james"
