label,correct values
creator,50_Cent:_The_Money_and_the_Power | Power Universe
occupation,actor | businessman | entrepreneur | film actor | film producer | investor | music executive | rapper | record executive | record producer | singer | songwriter | television actor | television producer
presenter,50 Cent: The Money and the Power | 50 Central
founded by | foundedBy,G-Note Records | G-Unit Films and Television Inc. | G-Unit Records | SMS Audio
child | children | number of children,2 | Sire Jackson
birthDate | birthYear | date of birth,1975 | 1975-07-06 | 1975-07-06T00:00:00Z
activeYearsStartYear | work period (start) | yearsActive,1996 | 1996-01-01T00:00:00Z
birthPlace | place of birth,New York City | South Jamaica | U.S.
family name | given name | name,50 Cent | Curtis | Jackson
director,Before I Self Destruct | Before_I_Self_Destruct_(film)
birthName | birth name,Curtis James Jackson III
