"owners","Iraq_Petroleum_Company","","",""
"foundedBy | founder","Standard_Oil | Mobil | Split from Standard Oil by the Supreme Court of the United States in 1911; merged with Mobil in 1999 to form present name",Lucio Noto | Lee Raymond,"John D. Rockefeller","founded by"
"institution","Mark_O._Robbins | Anne_L._Stevens | Amalie_Frischknecht","","",""
"partners","Kearl_Oil_Sands_Project | Pazflor_oil_development | Dalia_Oil_Field | East-Prinovozemelsky_field | Azeri–Chirag–Gunashli | East_Natuna_gas_field | Alaska_gas_pipeline | Trans-Alaska_Pipeline_System | FLAGS | Edward_Gaming | Tengiz_Field | Sleipner_gas_field | Prudhoe_Bay_Oil_Field | Terra_Nova_oil_field | Brent_oilfield | Fulmar_Gas_Line | Hibernia_oil_field | Ormen_Lange_(gas_field) | Bonga_Field | Adria–Wien_Pipeline | Grane_oil_field | Thunder_Horse_Oil_Field | Elgin–Franklin_fields | Tuapse_field | Norpipe | Kashagan_Field | Oseberg_South | Langeled_pipeline | Tempa_Rossa_oil_field","","",""
"homepage","%7Ccorporate.exxonmobil.com","","",""
"owner","On_the_Run_(convenience_store) | List_of_Esso_Atlantic-class_supertankers | Baytown_Refinery | Imperial_Oil | Mobil | GasTerra | Infineum | Gorgon_gas_project | Altona_Refinery | Baton_Rouge_Refinery | Thunder_Horse_PDQ","","",""
"currentTenants","Mossmorran","","",""
"hqLocationCity | locationCity","Irving,_Texas | Spring, Texas | Spring,_Texas | Irving,_Texas","Spring, Texas","Spring","headquarters location"
"predecessor","Mobil | Standard_Oil","","",""
"successor","Mobil | Standard_Vacuum_Oil_Company","","",""
"subsidiary","ExxonMobil_Nigeria | Aera_Energy | SeaRiver_Maritime | Exxon_Neftegas","Imperial Oil | XTO Energy | ExxonMobil Australia | ExxonMobil Nigeria | SeaRiver Maritime | Exxon Neftegas | ExxonMobil Research and Engineering | Forbes Travel Guide | ExxonMobil Canada | ExxonMobil United Kingdom | ExxonMobil Refining and Supply Company | ExxonMobil Fuels, Lubricants & Specialties Marketing Company | ExxonMobil Chemical | ExxonMobil Fuels & Lubricants Company | ExxonMobil Central Europe Holding","ExxonMobil Research and Engineering | Forbes Travel Guide | ExxonMobil (Canada) | ExxonMobil (United Kingdom) | ExxonMobil Refining and Supply Company | ExxonMobil Fuels, Lubricants & Specialties Marketing Company | ExxonMobil Chemical | ExxonMobil Fuels & Lubricants Company | ExxonMobil Central Europe Holding","has subsidiary"
"operator | operators","Pelican_South_gas_field | Skifska_gas_field | 2013_Mayflower_oil_spill | Val_Shatsky_oil_field | Domino_gas_field | Arun_gas_field",Hides gas field | Hibernia oil field | Pelican South gas field | Skifska gas field | Val Shatsky oil field | Arun gas field,"ExxonMobil Singapore Chemical Plant | Esso refinery in Botlek | Papua New Guinea LNG | Exxon Valdez disaster | 2011 Yellowstone River oil spill | Scarborough gas field | P’nyang gas field | Hebron-Ben Nevis oil field","operator"
"workplaces","Anne_L._Stevens | Amalie_Frischknecht | Mark_O._Robbins","","",""
"operatingIncome","2.4019E10","","",""
"equity","1.68577E11","","",""
"owningCompany","On_the_Run_(convenience_store) | Imperial_Oil | Mobil | GasTerra | Infineum","","",""
"type","InterOil",public company | gas station chain | enterprise | multinational corporation | business | corporation,"gas station chain | enterprise | multinational corporation | business | corporation","instance of | legal form"
"industry","Energy_industry | Oil_and_gas_industry",Energy industry | Oil and gas industry | petroleum industry,"petroleum industry","industry"
"occupation","Dan_Ammann | Stephen_D._Pryor | Warner_Norton_Grubb","","",""
"contractors","West_Qurna_Field","","",""
"keyPerson","Darren_Woods","","",""
"founded","1882-08-05","","",""
"areaServed","Worldwide","","",""
"product","Petrochemical | Crude_oil | Oil_products | Natural_gas | Power_generation","","",""
"hqLocationCountry","U.S.","","",""
"parentCompany","ExxonMobil_Nigeria | SeaRiver_Maritime | Exxon_Neftegas | On_the_Run_(convenience_store) | XTO_Energy | ExxonMobil_Australia","","",""
"name","Exxon Mobil Corporation",ExxonMobil Corporation,"","official name"
"affiliation | affiliations","Dark_Basin | Dark_Basin",Dark Basin | Alexandros Konstantinou | Garry D. Karner,"Alexandros Konstantinou | Garry D. Karner","affiliation"
"netIncome","2.304E10","","",""
"products","Crude_oil | Oil_products | Natural_gas | Power_generation | Petrochemicals","","",""
"currentowner","Speedpass | Coolanol | Mobil_1",Esso | Speedpass | Coolanol | Mobil 1 | Forbes Travel Guide | ExxonMobil Australia | Imperial Oil | Exxon Neftegas | The Vanguard Group,"Forbes Travel Guide | Aera Energy | ExxonMobil Australia | Imperial Oil | Exxon Neftegas | The Vanguard Group","owner of"
"opponents","Movement_for_the_Emancipation_of_the_Niger_Delta","","",""
"foundingYear","1882","","",""
"significantBuilding","Michel_Mossessian","","",""
"foundingDate","1882-08-05","","",""
"brands","Mobil | On the Run | Coolanol | Speedpass | Esso","","",""
"isPrimaryTopicOf","ExxonMobil","","",""
"parent","Exxon_Neftegas | On_the_Run_(convenience_store) | ExxonMobil_Nigeria","XTO Energy | ExxonMobil Australia | Exxon Neftegas | On the Run | ExxonMobil Nigeria | German-American Petroleum Company | ExxonMobil Chemical | ExxonMobil Refining and Supply Company | ExxonMobil Fuels, Lubricants & Specialties Marketing Company | ExxonMobil Pipeline Company | ExxonMobil Upstream Research Co | ExxonMobil Fuels & Lubricants Company | ExxonMobil Central Europe Holding | ExxonMobil Research and Engineering | Forbes Travel Guide | ExxonMobil United Kingdom | ExxonMobil Canada","German-American Petroleum Company | ExxonMobil Chemical | ExxonMobil Refining and Supply Company | ExxonMobil Fuels, Lubricants & Specialties Marketing Company | ExxonMobil Pipeline Company | ExxonMobil Upstream Research Co | ExxonMobil Fuels & Lubricants Company | ExxonMobil Central Europe Holding | ExxonMobil Research and Engineering | Forbes Travel Guide | ExxonMobil (United Kingdom) | Q125929111 | Q130232940 | Imperial Oil | ExxonMobil (Canada)","parent organization"
"keyPeople","Darren Woods","","",""
"knownFor","David_Kaiser_(philanthropist)","","",""
"companies","ExxonMobil_Electrofrac","","",""
"primaryTopic","ExxonMobil","","",""
"assets","3.38923E11","","",""
"","","","Global Day of Climate Action","in opposition to"
"","","","22777 Springwoods Village Parkway, Spring, TX 77389-1425 | 5959 Las Colinas Boulevard, Irving, Texas 75039-2298","street address"
"","","","Angela Braly | Larry Kellner | Kenneth Frazier | Darren Woods | Gregory J. Goff | Michael J. Angelakis | Andy Karsner | Kaisa Hietala | Steven A. Kandarian | Ursula Burns | Jeffrey W. Ubben | John Harris | Jay Hooley | Susan Avery","board member"
"","","","189000 | 328885 | 326352 | 185000 | 179000 | 337247","social media followers"
"","","","ExxonMobil Refining and Supply Company | Exxon | ExxonMobil Fuels, Lubricants & Specialties Marketing Company | Mobil","named after"
"","","","United States of America","country"
"","","","A Private Passion: Harvard's Winthrop Collection | Art in the Making: Degas | Pisanello: Painter to the Renaissance Court | Universe of Energy | Exxon Mobil Musher Choice | Madame de Pompadour: Images of a Mistress | Merdeka Award | Fraser Institute","sponsor"
"","","","Competitive Enterprise Institute | Atlas Network | Willie Soon | The Heartland Institute | Texas Public Policy Foundation | Institute for Energy Research","funder"
"","","","Dow Jones Industrial Average | Big Oil | S&P 100 | S&P 500 | fossil fuels lobby","part of"
"","","","New York Stock Exchange","stock exchange"
"","","","climate change denial","contributing factor of"
"","","","Darren Woods | Rex Tillerson | Lee Raymond","chief executive officer"
"","","","Mobil","replaces"
"","","","Ursula Burns","member of"
"","","","American Fuel & Petrochemical Manufacturers","represents"
"","","","100 companies responsible for 71% of global emissions | Big Oil","has part(s)"
"","","","ExxonMobil","Commons category"
