label,correct values
birthDate | birthYear | date of birth,1963 | 1963-12-18 | 1963-12-18T00:00:00Z
spouse | spouse,Angelina Jolie | Jennifer Aniston
occupation,actor | executive producer | film actor | film producer | model | producer | voice actor
activeYearsStartYear | work period (start) | yearsActive,1987
founded by | foundedBy | founder,Make It Right Foundation | Not_on_Our_Watch_(organization) | Plan B Entertainment | Plan_B_Entertainment
family name | given name | name,Brad | Bradley | Pitt | William
narrator | narrator,Voyage of Time
birthPlace | place of birth,Oklahoma | Shawnee | U.S.
relations|relation | sibling,Douglas Pitt
child | children | number of children,6 | Knox Jolie-Pitt | Shiloh Jolie | Vivienne Jolie-Pitt
birthName | birth name,William Bradley Pitt
